"AVAILABILITY_365","CALCULATED_HOST_LISTINGS_COUNT","HOST_ID","HOST_NAME","ID","LAST_REVIEW","LATITUDE","LONGITUDE","MINIMUM_NIGHTS","NAME","NEIGHBOURHOOD","NEIGHBOURHOOD_GROUP","NUMBER_OF_REVIEWS","PRICE","REVIEWS_PER_MONTH","ROOM_TYPE"
"0","1","47402784","Lara","9091264","","52.49555801413628","13.422130840898124","1","Centric room in kreuzberg","südliche Luisenstadt","Friedrichshain-Kreuzberg","0","30","","Entire home/apt"
"0","1","42474134","Hannah","9092305","","52.566651971723566","13.418386044687072","1","Gemütliches Zimmer in kleinen WG","Pankow Süd","Pankow","0","60","","Private room"
"0","1","24763087","Konstantinos","9102068","","52.51961444840829","13.425403358250971","1","Berlin Central Calling","Alexanderplatz","Mitte","0","27","","Private room"
"25","1","3393070","Lisa","9107099","27/08/2018","52.46989767254529","13.442873974305542","3","Studio + balcony in trendy Neukölln","Rixdorf","Neukölln","20","60","0.55","Entire home/apt"
"0","1","12469994","Alessia","9108801","","52.48601337760639","13.432625524261077","15","Quite in a Cool Street in Neukolln","Reuterstraße","Neukölln","0","32","","Entire home/apt"
"0","1","47478452","Sara","9109580","17/11/2015","52.47075507566904","13.43046019588023","1","2 Zimmer Wohnung in Neukölln","Neuköllner Mitte/Zentrum","Neukölln","1","40","0.03","Private room"
"0","1","27894760","Elle","9113886","13/10/2016","52.49633922792285","13.431220604336104","1","Room in Central Kreuzberg","südliche Luisenstadt","Friedrichshain-Kreuzberg","4","38","0.14","Private room"
"0","1","23215827","Boya","9114031","08/11/2015","52.495314520342326","13.322060021497222","5","Ein Zimmer mit super Location","Düsseldorfer Straße","Charlottenburg-Wilm.","1","22","0.03","Private room"
"0","1","13417592","Rox","9114842","29/11/2015","52.4990781972063","13.433805802224615","1","","südliche Luisenstadt","Friedrichshain-Kreuzberg","1","60","0.03","Entire home/apt"
"34","1","4349786","Ledith","9115610","03/11/2018","52.49575999441394","13.396893979519954","2","Single Room in Kreuzberg Open for Berlinale 2019","Tempelhofer Vorstadt","Friedrichshain-Kreuzberg","57","29","1.56","Private room"
"299","6","4065526","Heliodor Apartments / Michael","9121139","29/10/2018","52.51334693371888","13.49044934444535","1","Bright&Cozy 10mins by Subway U5 at Alexanderplatz","Alt-Lichtenberg","Lichtenberg","200","53","5.77","Entire home/apt"
"0","1","22800975","Ki Victoria","9123008","","52.52378990605091","13.452225695275295","1","Bright&spacious w private terrace","Frankfurter Allee Nord","Friedrichshain-Kreuzberg","0","39","","Private room"
"305","1","7796409","Tony","9123319","07/09/2017","52.48807704053971","13.325691548009706","3","Sunny large room for up to 2 guests","Volkspark Wilmersdorf","Charlottenburg-Wilm.","13","49","0.35","Private room"
"0","1","9063905","Andreas","9124340","01/10/2018","52.53284185646368","13.43611339671594","3","supergemütliche 2 Zimmerwohnung","Prenzlauer Berg Süd","Pankow","16","60","0.44","Entire home/apt"
"0","1","47544802","Adrian","9126823","16/05/2016","52.50916898065798","13.464927976708562","1","Great Room in the Heart of F'Hain","Frankfurter Allee Süd FK","Friedrichshain-Kreuzberg","2","19","0.06","Private room"
"0","1","18029235","Niccolo","9128009","18/05/2016","52.52044063333211","13.454177466639154","7","Cosy flat in the heart of Berlin","Frankfurter Allee Nord","Friedrichshain-Kreuzberg","4","60","0.11","Entire home/apt"
"320","3","46349020","Jakob","9128170","22/10/2018","52.52469166121548","13.408771137024404","1","*NEW: Central City Pad - ALM 3","Alexanderplatz","Mitte","198","65","5.83","Entire home/apt"
"0","1","23113861","Florian","9129814","17/04/2017","52.519537304939256","13.455659097766697","5","Maisonette Around The World","Frankfurter Allee Nord","Friedrichshain-Kreuzberg","15","55","0.45","Entire home/apt"
"0","1","47560110","Nadja","9130860","03/01/2016","52.551066033222455","13.390478009499805","3","Cozy flat in Mitte 3+","Osloer Straße","Mitte","1","50","0.03","Entire home/apt"
"3","1","24544862","Christoph","9131711","25/10/2018","52.510144936745164","13.408216593462008","2","Deep in the heart of Mitte","Alexanderplatz","Mitte","16","30","0.46","Private room"
"321","1","47163643","Nick","9132683","01/11/2018","52.49774868749986","13.337986258697345","3","Appartment  Balcony near KADEWE","Düsseldorfer Straße","Charlottenburg-Wilm.","64","65","1.75","Entire home/apt"
"0","1","47578938","Kamila","9135486","09/04/2016","52.46737569683239","13.391629053066307","2","Comfortable Studio","Tempelhof","Tempelhof - Schöneberg","8","42","0.22","Entire home/apt"
"0","1","47580317","Stefan","9135860","","52.488032848666975","13.437057251645953","3","light room, big kitchen in Neukölln","Reuterstraße","Neukölln","0","20","","Private room"
"339","4","35024779","Claudio Klaus","9136533","11/10/2018","52.48829971092283","13.326976100113109","1","WG-room southwest f 5 pers with 35,5qm+74qm shared","Volkspark Wilmersdorf","Charlottenburg-Wilm.","54","26","1.47","Private room"
"6","2","1033539","Claudia","9141203","19/10/2018","52.484087245156964","13.358896878521243","2","Huge bright room in Schöneberg!!!","Schöneberg-Süd","Tempelhof - Schöneberg","77","50","2.59","Private room"
"0","1","12428505","Bruno","9141461","05/11/2015","52.50548094840331","13.450104067692116","1","Private cosy Room in Friedrichshain","Frankfurter Allee Süd FK","Friedrichshain-Kreuzberg","1","20","0.03","Private room"
"38","1","19488687","Anton","9141729","05/11/2018","52.527692377591","13.32621617479015","1","23qm Zimmer in Moabit, nahe Turmstr","Moabit West","Mitte","32","32","0.88","Private room"
"0","1","5267877","Céline","9147863","03/01/2016","52.511448850614165","13.38193360466308","3","Large cozy room in CENTER of Berlin","Regierungsviertel","Mitte","1","60","0.03","Private room"
"0","1","47640324","Ines + Olaf","9150138","","52.49148924585282","13.398180386170223","5","Schöner, offener Wohnraum","Tempelhofer Vorstadt","Friedrichshain-Kreuzberg","0","65","","Entire home/apt"
